Date,Time_A/P,Building,P(epsi) or C(anteen),Machine ID/ Asset #,Problem,Date Reported,Who Called it In?,Pepsi Confirm  # or n/a,Name of Person at P or C reported to,Other Notes / Service Deadline
1/2/19,2:43 PM,LASP,C,67088,Not accepting electronic payments,1/2/19,Cate,n/a,Jeanne has dispatched,
1/3/19,3:11 PM,Regent,P,10436458,"Stuck ""now dispensing"" on main screen (Card reader not stuck)",1/3/19,Cate,116679367,Anne has dispatched,eob 1/4/19
1/3/19,3:35 PM,Ketchum,C,66578,"Stuck ""Cards offline by vendor""",1/3/19,Cate,n/a,Austin has dispatched,
1/3/19,3:35 PM,Norlin,C,68479,"Request: top section nearly empty, less hot flavors, dark chocolate for bottom row, which remains full?",1/3/19,Cate,n/a,emailed Jeanne; she forwarded to Phil,
1/4/19,6:01 PM,Muenzinger,P,10966321,Ate 2 $1 coins,1/7/19,Cate,116718352,Grema,eob 1/8/19
1/7/19,3:45 PM,CUBS,C,67721,"Slot 201 not working ""make another selection""",1/7/19,Cate,n/a,Jeanne has dispatched,
1/8/19,4:15 PM,IEC,P,2579709,Martin Castorena called to ask for this to be moved back to the correct position,1/8/19,Cate,n/a,"Emailed Mike Minnehan, spoke w/Emil.",
1/9/19,12:40 PM,UMC,P,11319620,Needs to be restocked ASAP,1/9/19,Cate,n/a,Jerry has dispatched,"(may have been restocked already, after Emil observed filler walk past & fill CUBS machines)"
1/11/19,3:00 PM,Theater,C,66502,"Chips stuck near bottom, toward right ",1/11/19,Cate,n/a,Austin has dispatched,
1/14/19,1:47 PM,Rec Center,P,10735614,"Not dispensing, bottle stuck",1/14/19,Cate,116845960,Jonathan has dispatched,
1/14/19,3:58 PM,Norlin,C,68479,Card reader too high to be ADA compliant,1/15/19,Cate,n/a,Jeanne has dispatched,Ronda replied that this will be fixed
1/15/19,8:57 AM,CASA,C,67807,Very low product,1/15/19,Cate,n/a,Jake has dispatched,"Jake advised next scheduled fill is Tue 1/22/19, I requested ASAP"
1/15/19,10:28 AM,LASP,C,67088,Product low,1/15/19,Jeanne,n/a,Man @ LASP called Jeanne @ Canteen directly,
1/15/19,1:46 PM,Many,C,Many,"Ronda has confirmed most upgrades, sent us asset ID #s.",1/15/19,Ronda,n/a,Cate has updated Master,
1/15/19,4:02 PM,Norlin,Both,Both,"Chris Yago of Bldg Mgmt advised loading dock will be closed, forwarding instructions",1/15/19,Chris Yago,n/a,Cate will forward delivery instructions to Canteen & Pepsi,
1/16/19,12:45 PM,CUBS,C,67721,"Emil noticed that ""tap to pay"" isn't working on these.",1/16/19,Cate,n/a,Jeanne has dispatched,
1/16/19,2:10 PM,UMC,P,10356368,"Low product & ""cash only"" message",1/16/19,Cate,116891724,Jose & Jose have dispatched,"eob 1/17/19, tech will ask for Emil when on site to discuss ""tap to pay"""
